"ID","IntDate","H4","G3_EDU","H1","AGE","A1","B8_1","A7_1","A10","A13_1","A13_2","A13_3","C8_1","C8_2","C8_3","C8_4","C8_5","C8_6","W5"
"27900498","2022-05-29",0,"University","Female",24,3,2,1,3,NA,0,0,1,0,1,1,0,1,1
"27900499","2022-06-01",0,"University","Male",59,3,2,1,3,1,1,0,0,0,0,0,1,1,1
"27900500","2022-06-02",0,"University","Female",41,2,4,0,2,NA,0,0,0,0,0,0,0,1,0
"27900501","2022-05-31",0,"University","Female",58,2,8,0,3,NA,0,0,0,0,0,0,0,0,0
"27900503","2022-08-12",0,"Non-University","Male",61,1,4,0,1,NA,0,0,0,0,0,0,0,0,1
"27900508","2022-05-29",0,"University","Female",42,1,8,1,2,NA,0,0,0,0,0,0,0,0,1
"27900512","2022-05-27",0,"University","Male",46,3,4,0,3,NA,0,0,1,0,0,0,0,0,0
"27900514","2022-06-06",0,"Non-University","Female",49,2,3,0,3,NA,0,0,0,0,0,0,0,0,1
"27900516","2022-08-12",0,"Non-University","Male",60,3,999,0,3,NA,0,0,NA,NA,NA,NA,1,NA,0
"27900518","2022-05-28",0,"Non-University","Male",39,3,5,1,2,NA,0,0,0,0,0,1,0,0,0
"27900523","2022-08-12",0,"University","Male",70,3,0,0,3,NA,0,0,1,1,0,1,1,0,1
"27900525","2022-08-12",0,"Non-University","Female",76,2,4,1,3,NA,0,1,0,0,0,0,0,0,1
"27900531","2022-08-12",0,"Non-University","Female",69,2,8,1,3,NA,0,0,0,0,0,0,0,1,1
"27900537","2022-05-30",0,"Non-University","Male",63,3,8,1,2,NA,0,0,0,0,0,0,0,1,0
"27900545","2022-05-29",0,"Non-University","Male",50,3,2,0,2,NA,0,0,0,0,0,0,1,1,1
"27900551","2022-08-12",0,"Non-University","Female",62,1,5,0,NA,NA,0,0,0,0,0,0,0,0,0
"27900553","2022-05-28",0,"University","Female",54,1,6,0,1,NA,0,0,1,0,0,0,1,1,0
"27900556","2022-06-03",0,"University","Female",33,1,999,1,2,NA,0,0,0,0,0,0,0,0,1
"27900559","2022-07-14",0,"University","Male",45,3,7,1,3,NA,0,0,1,1,0,1,0,0,0
"27900568","2022-08-12",0,"University","Female",72,3,1,1,3,NA,0,0,0,1,1,1,1,1,1
"27900577","2022-05-30",0,"Non-University","Female",40,2,5,0,2,NA,0,0,0,0,0,0,0,1,NA
"27900578","2022-05-27",0,"University","Male",35,3,4,0,3,1,0,1,0,0,0,0,0,1,0
"27900581","2022-06-12",0,"University","Female",51,2,5,0,3,NA,0,0,1,1,1,1,1,1,1
"27900587","2022-05-27",0,"Non-University","Female",87,1,8,0,1,NA,0,0,1,0,1,1,1,0,0
"27900591","2022-06-01",0,"Non-University","Male",71,3,5,0,3,NA,0,0,1,1,NA,NA,NA,NA,NA
"27900595","2022-06-11",0,"Non-University","Male",66,2,3,0,3,NA,0,0,0,0,0,0,1,1,0
"27900600","2022-05-28",0,"Non-University","Male",73,3,6,0,3,NA,0,0,0,0,0,0,0,0,0
"27900602","2022-06-17",0,"Non-University","Male",75,2,6,0,3,NA,0,0,1,1,0,1,0,0,1
"27900603","2022-06-02",0,"University","Male",37,2,7,1,2,NA,0,0,0,0,0,0,0,0,NA
"27900605","2022-08-12",0,"Non-University","Male",74,3,9,0,3,NA,0,0,NA,NA,NA,NA,1,1,1
"27900611","2022-06-10",0,"University","Male",67,2,8,0,3,NA,0,0,1,1,0,0,0,1,0
"27900621","2022-05-30",0,"University","Female",54,3,1,0,3,NA,0,0,0,0,0,1,0,1,0
"27900634","2022-06-14",0,"University","Female",60,1,6,0,3,NA,0,0,1,0,0,0,1,1,0
"27900640","2022-06-09",0,"Non-University","Female",51,2,5,1,2,NA,0,0,0,0,0,0,0,0,0
"27900643","2022-05-30",0,"Non-University","Male",72,2,9,0,3,NA,1,0,1,0,0,0,0,1,0
"27900648","2022-06-08",0,"University","Female",26,2,4,0,3,NA,0,0,0,0,0,0,0,1,0
"27900649","2022-06-10",0,"Non-University","Female",61,1,999,0,1,NA,0,0,1,0,0,1,1,0,0
"27900650","2022-06-04",0,"University","Male",58,3,2,1,3,NA,0,0,1,0,0,0,1,1,0
"27900652","2022-06-10",0,"University","Female",63,2,5,0,3,NA,0,0,1,0,0,1,1,0,0
"27900655","2022-06-09",0,"University","Male",75,3,4,0,3,NA,0,0,1,0,0,0,0,1,1
"27900657","2022-05-26",0,"University","Male",37,2,4,0,3,NA,0,0,0,0,0,0,0,0,0
"27900666","2022-06-10",0,"University","Female",76,2,6,0,2,NA,0,0,0,0,0,0,0,0,0
